,A,B,C,D,E,G,H,I,J,K,L,M,O,P
3.0,12507,11380,12942,11532,12722,11343,11239,11298,11347,11036,11295,11349,11347,11322
6.0,12859,11713,13326,11871,13080,11677,11570,11633,11680,11361,11627,11683,11680,11655
9.0,13220,12044,13699,12207,13446,12008,11900,11964,12012,11686,11958,12015,12012,11986
