,A,B,C,D,F,G,H
5.0,4729025,5321133,6113128,5726008,6113128,5342613,4671435
14.0,4908440,5527341,6446296,5974475,6348491,5547210,4830472
22.0,5001027,5634741,6450082,6158305,6450082,5651388,4946981
