,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,4155505,17683,235,292,4,HNP
14.0/F中層A,14.0,中層,A,4362540,18564,235,302,4,HNP
22.0/F高層A,22.0,高層,A,4583675,19505,235,297,4,HNP
6.0/F低層B,6.0,低層,B,4273475,18185,235,248,3,HNP
14.0/F中層B,14.0,中層,B,4502835,19161,235,250,3,HNP
22.0/F高層B,22.0,高層,B,4687075,19945,235,345,3,HNP
6.0/F低層C,6.0,低層,C,4503060,16678,270,242,3,HNP
14.0/F中層C,14.0,中層,C,4701240,17412,270,240,3,HNP
22.0/F高層C,22.0,高層,C,4571640,16932,270,235,3,HNP
6.0/F低層D,6.0,低層,D,4837490,16681,290,350,4,HNP
14.0/F中層D,14.0,中層,D,4877220,16818,290,374,3,HNP
22.0/F高層D,22.0,高層,D,4988000,17200,290,372,3,HNP
6.0/F低層E,6.0,低層,E,4849090,16721,290,372,3,HNP
14.0/F中層E,14.0,中層,E,5034110,17359,290,336,3,HNP
22.0/F高層E,22.0,高層,E,5342960,18424,290,374,3,HNP
6.0/F低層F,6.0,低層,F,4546530,16839,270,392,4,HNP
14.0/F中層F,14.0,中層,F,4737420,17546,270,328,4,HNP
22.0/F高層F,22.0,高層,F,4941810,18303,270,304,4,HNP
