,1,1 & 8,18,2,3,4,5,6,7,8
9.0,14346,17300,17300,14413,13578,14333,14440,14327,14248,14274
18.0,15100,18117,16451,14960,14382,14719,15201,15053,15004,14994
28.0,15736,18087,18087,15876,15147,15540,16089,16097,16054,15892
