,A,B,B OF FI,B1,C,C1,D,D1,E,F,F1,F1A,F1B,G,G1,H,H1,I,J,K,L,L1
2.0,527,458,,435,536,440,580,429,481,525,530,,,514,515,510,435,602,583,468,535,495
4.0,527,458,,435,536,440,583,429,481,532,530,,,514,515,510,664,602,583,468,535,495
7.0,527,458,,,536,440,536,330,481,520,530,,,514,515,510,664,602,573,468,535,495
