,2,3,4,G,H,I,J,K,L
6.0,2900160,2930760,2678940,3088386,2900160,2903400,3088386,3122109,3178434
11.0,2963520,2990880,2737020,3155936,2963520,2966760,3155936,3189636,3247461
16.0,3026520,3051360,2795430,3222714,3026520,3029760,3222714,3250890,3315291
