,A,A & B,AB,B,C,D,E,F,G
8.0,10996450,22436568,24439119,9786774,8430640,7519788,7835296,9862883,11297350
18.0,11806500,23651124,25760337,10331354,9125600,7794798,8302240,10397595,11570200
27.0,12152450,24744384,26951823,10497712,9517280,8130150,8592864,10100199,11562550
