,A,A & B,B,C,D,E,E & F,EF,F,FG,G,H
8.0,845,2232,525,571,896,525,1529,1529,434,1112,551,922
20.0,899,2232,1332,798,571,525,1529,1529,607,1112,607,922
31.0,845,2232,1332,1116,1116,922,1529,1529,556,1112,556,922
