,A,B,C,D,E,F,G,H,K
5.0,8660,10973,11460,11450,11447,11462,11472,11462,11446
8.0,8834,11191,11680,11670,11667,11683,11693,11680,11666
10.0,8951,11815,11827,11817,11814,11830,11840,11827,11813
