,A,A-C,B,C,D,E,F
19.0,43940744,,44090695,33194304,32274175,25555140,38894625
42.0,47620160,,47942752,45672250,44842698,33299926,42451646
67.0,46570383,,50574039,44779104,44870450,34175232,46034590
