,A,AK,B,C,D,E,F,G,H,J,JK,K
8.0,12802,,14600,13987,14946,14899,15307,14471,14541,15448,11436,12444
18.0,14502,,14612,14124,15520,14961,15766,15833,14750,15581,12078,13125
28.0,14897,,16018,16374,16037,15359,16336,15702,16585,15775,12657,14684
