,1,2,3,4,5,6,7,8
5.0,13754,12225,12460,13274,13063,14325,15146,14265
14.0,14476,12981,13238,14094,13846,15325,15921,14551
22.0,15187,13299,14109,14742,14721,15758,16706,15260
