,A,B,D,E,F,G,H,I
3.0,9054,8611,10108,8611,10219,8611,8557,8797
6.0,9153,8705,10238,8705,10347,8705,10205,10259
8.0,9217,8768,10325,8768,10432,8768,8712,10344
