,A,B,C,D,E,F,G,H,J,K,L,M,N
8.0,702,493,798,526,386,732,717,711,1079,1043,1043,477,504
22.0,706,494,790,519,386,729,717,715,1084,1043,1043,471,506
38.0,708,494,784,515,386,727,717,717,1086,1044,1097,469,506
