,A1,A2,B10,B12,B13,B13C15,B3,B4,B5,B7,B8,B9,C15,C16
2.0,8201,8246,7812,7812,,7488,7765,8312,7765,7557,7812,8249,7835,8758
3.0,8234,8279,7831,7843,,7518,7796,7802,7796,7620,7843,8214,7863,8279
4.0,8266,8311,8411,7874,,7548,7827,7833,7827,7651,7874,8246,7892,8311
