,A1,A10,A1A,A1B,A2,A3,A3A,A4,A5,A5A,A6,A6A,A7,A7A,A7B,A8,A8A,A8B,A9,A9A,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,C7,C8,C9
10.0,541,390,271,279,396,568,285,253,562,282,510,246,562,282,282,510,271,271,562,276,745,562,562,562,566,535,427,483,482,482,339,482,476,476,539
19.0,541,390,271,279,396,568,285,253,562,282,510,246,562,282,282,510,271,271,562,276,745,562,562,562,566,535,427,483,482,482,339,482,476,476,539
28.0,541,390,271,279,396,568,285,253,562,282,510,246,562,282,282,510,271,271,562,276,745,562,562,562,566,535,427,483,482,482,339,482,476,476,539
