,A,B,C,D,E,F,H
7.0,5560620,5733805,5297315,5571540,5276370,5768100,5689915
13.0,5721300,5894350,5353365,5721690,5374900,5929950,5842760
19.0,5714670,5796175,5517680,5829720,5490835,5835180,5769225
