,A,B,C,D,E,F,G,GH,H
5.0,12184,13186,13058,12859,12726,13077,12838,11086,13077
14.0,13090,14014,13822,13625,13495,13877,13867,11758,13886
23.0,13940,14814,14998,14376,14710,14375,14670,12417,14661
