,1,2,3,4,5,6,7,8,A1
7.0,5222224,5279206,5280388,5293960,5182632,5192132,5419076,5195960,5344528
16.0,5319832,5387556,5382434,5403328,5374320,5378494,5604256,5399408,5408424
25.0,5471536,5683844,5502604,5530728,5624024,5639716,5529790,5604816,5530728
