,A,B,C,D,E,F,H,I,J,K,L,M,N,P,Q
3.0,4683691,5493908,4319360,6340625,6096416,4350096,5030280,5172024,3873056,3780140,4452120,4524780,3959087,3911372,4328648
6.0,4663936,5602170,4406700,6471250,6221920,4434960,5129190,5273664,3950144,3857525,4440828,4582110,4038146,3989336,4416606
10.0,4904069,5751872,4525006,6645000,6388864,4555320,5266722,5414992,4057504,3959365,4663770,4697550,4207288,4097560,4534812
