,subjFloor,floorLv,unitNo,price,npsf,nfa
4.0/F低層1,4.0,低層,1,14010400,13280,1055
7.0/F中層1,7.0,中層,1,14228785,13487,1055
10.0/F高層1,10.0,高層,1,14447170,13694,1055
4.0/F低層2,4.0,低層,2,15386910,13322,1155
7.0/F中層2,7.0,中層,2,15627150,13530,1155
10.0/F高層2,10.0,高層,2,15866235,13737,1155
4.0/F低層3,4.0,低層,3,15442350,13370,1155
7.0/F中層3,7.0,中層,3,15683745,13579,1155
10.0/F高層3,10.0,高層,3,15923985,13787,1155
4.0/F低層4,4.0,低層,4,15204180,13337,1140
7.0/F中層4,7.0,中層,4,15440160,13544,1140
10.0/F高層4,10.0,高層,4,15677280,13752,1140
