,A,C,D,E,F,G,H,J
3.0,4740960,4394235,4272723,4462199,4045275,4684659,4354382,4139184
6.0,4828320,3432095,3334500,3486431,4120675,4954824,3404230,3226944
8.0,4886400,3473340,3374514,3555487,4171375,5012476,3445384,4267536
