,31,A,B,C,D,E,F,G,H,I,J,whole floor
2.0,7679781,9004994,6919977,6280478,8820069,6673944,6258560,8811088,7530978,8895250,8756341,6350784
4.0,7984435,9100017,6995336,6530552,8909402,7412520,6360585,8900320,7572552,8929750,8475550,6517504
7.0,8051570,9042548,7503534,6424039,9041410,7548104,6464535,9291910,7366515,8081281,7991664,6989385
