,A,B,C,D,E,F,G,H,I,J,K,L
3.0,430,435,435,425,735,415,435,435,435,435,450,365
8.0,430,435,435,425,735,415,435,435,435,435,450,365
12.0,430,435,435,425,735,415,435,435,435,435,450,365
