,1,2,3,4,5,6,7,8,A3,A4,A6,A8
4.0,510,490,490,492,535,495,495,490,490,492,495,490
10.0,510,490,490,492,535,495,526,490,490,492,495,490
16.0,510,490,490,492,535,495,526,490,490,492,495,490
