,A,B,C,D,E,F,G,H,I,J
4.0,13560,14342,16027,14285,15614,14268,16825,16928,13860,16298
9.0,13776,14722,16806,14881,15951,15371,17225,17280,14858,16655
14.0,16028,14961,17121,14987,16227,16238,17618,15002,15903,17036
