,1,10,11,11A,12,13,14,2,3,4,5,6,7,8,9,9 & 10
4.0,4157179,3829800,4085900,2885872,3846480,3768207,4144824,3607956,3787613,3786210,3780882,3906350,3870509,4166400,3639000,4999720
8.0,3981450,3717560,3273400,2951707,4067789,3848648,3992800,3685770,3976978,4004991,3984678,3986850,3954812,4273908,3712800,5118960
13.0,2538312,3861990,5456060,3027156,5749393,4089150,4082050,3772494,3934410,3675528,3955041,3572863,3914437,4333428,3993174,5250520
