,A,B,C,D,E,E & F,F,G,GH,H
7.0,9130,9053,9786,9748,11014,7067,10874,9954,5373,9926
20.0,9917,9643,10254,9800,10770,7545,10948,10332,5720,10210
32.0,10885,9733,10665,10335,11442,7358,11402,11159,5894,10381
