,1,2,3,4,5,6,7,8,D2,D3,D4,D6
6.0,5544850,5041200,5041200,5074860,5544850,5405820,5405820,5405820,4982400,5041200,5576670,5462100
13.0,6163190,5754400,5754400,6163190,6163190,6014820,6014820,6014820,5894800,5754400,5983450,6046740
20.0,6001510,5906800,5906800,6329600,5788230,6177360,6177360,6177360,6000400,5906800,6244030,6159720
