,A,B,C,CD,D,E,EFI,F,F & I,G,H,I
5.0,17714,17400,17714,12595,17636,17714,,19360,,18782,17657,19215
8.0,18102,17859,18182,12913,18102,18182,,19132,,19281,18106,19726
12.0,18783,18449,18700,13336,18700,18783,,19764,,19918,18704,20378
