,A,B,C,D,E,F,G,H,J
6.0,17525,16687,15332,15076,14659,14690,15743,15248,14450
17.0,17595,17363,15568,15552,15234,15425,15545,16118,15721
27.0,17915,17814,15370,16409,15742,16732,16541,16953,15861
