,A,B,C,D,E,F,G,H,I
3.0,8288200,8124135,8124135,8370450,8928150,,7139259,7201920,6964305
6.0,8442480,8275555,8275555,8522250,9078850,8442480,7272342,7327470,7094040
9.0,8596760,8426975,8426975,8672400,9229000,8596760,7404948,7452555,7223775
