,A,B,C,D,E,F,G,GH,H,J,K,L
9.0,390,260,256,259,203,198,255,507,252,248,264,193
18.0,390,260,256,259,203,198,255,507,252,248,264,193
25.0,390,260,256,259,203,198,255,507,252,248,264,193
