,A,B,C,D,E,F,G,H,I,J,K,L
3.0,3324901,3629836,3437043,3819725,3882087,3115998,3119466,3192750,3538730,3672998,3919020,3324901
8.0,3633102,3715754,4169395,3754552,3744576,3432742,3411356,3459159,4169395,3911808,3750600,3633102
12.0,3716139,3362772,4263200,4263200,3827142,3511061,3489964,3540537,4263200,4326345,4162452,3716139
