,A,B,C,D,E,F,G,H,whole floor
4.0,5078232,5111624,5214706,5061000,3797280,3795840,3073315,4026960,3803760
7.0,5175118,5077000,5314680,5158000,3870000,3868560,3132039,3864960,3876480
10.0,5272506,5173000,5414654,5255000,3942720,3941640,3190763,3937680,3949200
