,A,B,C,D,E,F,G,H,I,J,K,L
6.0,13014,9902,9962,9887,9906,12166,12792,9882,10308,9962,9908,12556
12.0,13366,10109,10182,10108,9972,12502,13094,10123,10544,10182,10141,12909
18.0,12851,10360,10457,10357,10140,12838,13425,11216,10795,10457,10406,13261
