,A,B,C,D,E,PORTION A,PORTION D
5.0,7387875,6300294,6720600,5484435,5484435,6860700,5484435
10.0,7607250,6504498,6901800,5662283,5662283,7082775,5662283
14.0,7768575,6667752,7046400,4002240,5804183,7260975,5804183
