,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T
10.0,4684850,4705800,4476420,3690540,3744900,4427115,4415190,4279420,3760155,4278300,4541980,4043010,3748815,4735720,4205080,4735720,4735720,3651795
16.0,4880930,4758380,4487340,3801105,4003400,4437895,4497090,4341210,3813390,4463940,4603480,4195940,3865050,4882240,4751120,4598970,4882240,3848355
20.0,5018640,4851260,4579960,3869145,4092940,4579960,4633590,4424830,3885210,4556760,4765430,4281220,3939705,4977720,4824600,4769940,4977720,3922695
