,A4,A5,A6,A7,A8,A9,B3,B6,B7,C1,C7,C8
2.0,11002106,10937559,10875620,10004395,9071962,8071594,6094203,3249873,3222700,8752880,6840016,6840016
4.0,11105479,11041832,10986511,10137244,9164694,8154306,6159630,3285216,3257480,8842120,6897792,6897792
7.0,11260848,10910411,10889852,10276201,9307138,8264448,6257601,3337950,3309835,8963560,6990160,6990160
