,A,B,C,D,E,F,G,H,J,K,L
7.0,11983,12053,11660,11796,13532,12079,13722,15069,14695,13750,9985
16.0,12517,12632,12209,12316,14667,12665,14349,15222,15908,14627,10353
22.0,12906,13025,12850,12666,14855,13062,14508,15435,16596,15471,10639
