,A1,A10,A1010,A11,A1109,A12,A12 & A13,A1206,A13,A1403,A1410,A1411,A2,A205,A207,A3,A309,A4,A402,A403,A5,A6,A605,A608,A7,A703,A707,A8,A9,A909,B1,B10,B11,B12,B1201,B1507,B1512,B2,B208,B210,B3,B306,B307,B309,B312,B4,B402,B411,B5,B6,B7,B8,B9,B902,C1,C10,C11,C12,C13,C1309,C1409,C2,C3,C307,C310,C311,C313,C4,C5,C512,C6,C7,C8,C9
3.0,329,336,336,284,423,304,594,348,290,336,336,284,337,425,439,353,423,355,337,353,425,439,425,445,439,353,439,445,425,423,421,394,288,321,330,394,321,492,389,394,492,293,394,389,321,421,492,288,321,293,394,389,389,492,304,336,255,307,283,445,445,311,344,439,336,255,283,346,425,307,439,439,445,445
8.0,295,336,336,284,423,304,594,348,290,336,336,284,283,425,439,353,423,355,337,353,425,439,425,445,439,353,439,445,423,423,421,394,288,321,330,394,321,492,389,394,492,293,394,389,321,400,492,288,321,293,394,389,389,492,304,336,255,307,283,445,445,311,344,439,336,255,283,346,425,307,439,418,445,445
13.0,295,336,336,284,423,304,594,348,290,336,336,284,398,425,439,353,423,355,337,353,298,348,425,445,380,353,439,354,423,423,421,394,288,321,330,394,321,574,389,394,433,293,394,389,321,294,492,288,321,293,394,389,389,492,304,336,255,307,283,445,445,311,344,439,336,255,283,311,294,307,466,348,482,445
