,A,C,D,E,F,G,H,J,K
5.0,3565663,4808816,4854400,3987676,3589799,4774480,4774480,4774480,4774480
13.0,3683757,4972208,5034960,4123196,3713065,4935504,4935504,4935504,4935504
22.0,3838917,5176448,5246896,4291144,3862622,5139152,5139152,5139152,5139152
