,A,B,C,D,E,F,G,H,K
5.0,4243400,5694987,5615400,5392950,5322855,5673690,5885136,5673690,5299498
8.0,4328660,5740983,5723200,5496570,5425155,5783085,5998509,5723200,5401358
10.0,4385990,6061095,5795230,5565807,5493510,5855850,6073920,5795230,5469419
