,1,10,11,2,3,4,5,6,7,8,9
12.0,9935,10674,9904,9883,9867,9867,9867,9858,9482,9995,9841
16.0,10194,10960,10136,10138,10121,10121,10121,10113,9723,10414,10098
19.0,10407,11162,10242,10322,10283,10283,10283,10275,9907,10451,10286
