,A,B,D,E,H,J,K,L,M,N
2.0,10866,10061,10211,9806,10901,9996,10041,11061,10139,10330
3.0,10908,10092,9918,9901,10985,9676,9452,10665,10171,10144
5.0,10958,10152,9971,9949,10350,9733,9505,10856,10231,9984
