,A,B,C,C & D,D,E,F,G,H,H & I,I,J,JK,K,L,M,N,O,P,Q,R,S,T,U
3.0,2496864,2770416,2359740,4638276,2389890,2632497,2632497,2632497,2632497,4638276,2632497,2744690,4867383,2840376,2804184,2690272,2606520,2809984,2840376,2894318,2844552,2824136,2690765,2650165
7.0,2555826,2829384,2652798,4684104,2463255,2616618,2616618,2616618,2616618,4684104,2616618,2806825,4965276,2907656,2907656,2755000,2676120,2876336,2907656,2963338,2911832,2890488,2722027,2670059
11.0,2615718,2918376,3904875,4784202,2331540,3874975,2957570,3802175,3874975,4784202,3874975,3914950,5079261,3874975,2976792,2970296,2771240,2973312,2976792,2594550,3006720,2988856,2743342,2727305
