,A,B,C,D,E,F,F & G,G,H
9.0,8595008,9122088,8368318,6472383,6330576,6092034,11202957,6458550,9230541
22.0,9286848,10067270,9154670,6935031,7024788,6756366,15157317,7159950,10227869
33.0,10193600,10930392,13003130,7420603,7599978,7330062,16354255,7109025,11095274
