,A,B,C,D,E,F,FG,G
21.0,,,9298965,9803742,9935525,,,
40.0,15908328,16098209,11545051,11846011,11983440,15601360,,15927489
60.0,18567110,18677575,13466529,13372032,13379200,18083791,,18588768
