,1,10,11,12,13,14,2,3,4,5,5 & 6,6,7,8,9
4.0,6576400,6407480,5472360,5141040,5141040,5433030,5731160,5856180,6158280,6197040,9844920,6246060,6158280,5635780,6296160
10.0,6834290,6595260,5626080,5288600,5288600,5594500,5714060,6106220,6335360,6376400,10122300,6405280,6335360,5615260,6477120
15.0,6821170,6679310,5563250,5346570,5010530,5727160,6317880,5873970,6317880,6473300,10354140,6514340,5873970,5681760,6461130
