,A,B,BC,C,D,E,F,G,H
4.0,5105518,5152840,11990514,5746752,5666496,6041160,6003685,4433858,4648508
6.0,5257044,5304844,12349656,5887200,5833344,6216924,6216924,4900118,4785040
9.0,5489352,5538108,12888872,6145392,6089952,6488718,6488718,5115228,4995188
