,1,2,3,4,5,6,7,8,C2,C3,C5,C7
7.0,3509100,3047850,3047850,3257100,3380630,3380630,3010520,3215400,3047850,3029975,3388295,3372965
12.0,3612350,3128125,3128125,3342850,3469690,3469690,3070380,3300270,3128125,3108950,3474070,3461660
17.0,3722600,3205800,3205800,3426150,3556195,3556195,3133525,3382380,3205800,3185975,3560575,3548165
