,1,2,3,4,5,6,7
3.0,6035988,5843443,5988745,5747500,5959980,6103755,6111815
8.0,6250368,6056632,6201140,5952700,6379155,6310305,6330562
13.0,5840460,6258705,6407580,6152200,6588540,6509970,6436561
