,A,B,C,C2A,D,E,F,G,H
3.0,11374,12145,11439,11951,12243,12209,12209,12195,12031
8.0,11734,12517,11798,12324,12652,12592,12592,12578,12403
12.0,12022,12815,12084,12551,13090,12919,12899,12885,12792
