,A,B,C,D,E,F,G,H,J,K,L
33.0,25018,27612,22933,29956,33751,32330,26755,26292,25035,28069,24937
46.0,28677,31153,35563,34370,39127,37557,29783,29738,28427,31604,38132
59.0,32363,,25816,28265,25928,42384,32993,33840,32205,35054,31854
