,A,A & B,A-B,AB,B,C,C & D,C-D,CD,D,E,E & F,E&F,E-F,EF,F,G,G & H,G H,GH,H
7.0,651,1287,1287,1287,639,556,1112,1112,1112,559,457,911,911,911,911,454,556,1115,1112,1112,559
20.0,648,1287,1287,1287,639,556,1112,1112,1112,556,457,911,911,911,911,454,556,1115,1112,1112,556
32.0,648,1287,1287,1287,639,556,1112,1112,1112,556,457,911,911,911,911,454,556,1115,1112,1112,556
