,A,B,C,D,E,F,G,H,I,J,K,L,M,N
4.0,10380,10538,10376,10300,10522,10300,10414,10166,10300,9083,9531,10321,10441,10120
10.0,10353,10707,10730,10785,11186,10785,10576,10321,10785,9626,9562,9734,11065,11258
16.0,11690,11587,11478,11292,11721,11598,11598,11598,11620,11678,11705,10177,11543,11649
