,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9,D1,D10,D12,D13,D14,D15,D17,D18,D19,D19A,D2,D20,D21,D22,D23,D24,D4,D5,D6,D7,D8,D9
3.0,459,403,419,368,409,400,403,409,275,444,416,447,416,416,416,310,422,447,459,374,419,403,403,403,459,403,368,409,400,392,277,444,346,,447,416,416,416,444,422,460,368,419,403,403,403
8.0,459,403,419,368,418,403,400,409,275,444,416,440,416,416,416,444,422,350,459,374,419,403,403,403,459,403,368,409,400,400,408,444,346,,440,565,416,416,444,422,460,374,419,403,403,403
12.0,459,403,419,368,418,270,400,409,275,444,416,440,416,416,414,444,408,350,459,319,419,403,403,403,459,403,318,409,400,416,408,444,346,,565,565,416,416,444,422,460,374,419,407,403,403
