,A,B,C,D,E,F,G,H
10.0,21016,21031,21025,21304,20291,19460,19369,19486
28.0,22373,22686,22262,22481,22659,20943,20720,20073
44.0,23207,23840,23465,23432,19678,21429,18245,18936
