,1,2,3,C1,C2,C3
4.0,4992380,6132720,7364980,5408100,5408100,7082260
10.0,6375600,5761960,7657620,5584500,5584500,7312900
18.0,5526440,6036580,7878960,5931700,5819850,7621040
