,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
3.0,10087,10474,10231,10166,10166,10166,10061,10008,9919,10102,10035,10451,10514,10402,10312,10257
6.0,10281,10686,10428,10361,10361,10361,10255,10200,10110,10298,10228,10652,10700,10603,10512,10492
9.0,10474,10890,10709,10653,10653,10294,10447,10544,10301,10491,10240,10853,10920,10803,10765,10653
