,A,B,C,D,E,F,G,H,J,K
4.0,6458346,5595588,6332565,5677872,4131135,5268521,6390483,6379670,5234460,4188645
10.0,6641625,5732700,6521094,5826464,4786686,5412221,6571920,6560800,5384500,4298332
17.0,6864306,5908227,6740355,6001104,5028477,5589930,6792363,6780280,5560676,4941159
