,1,10,104,11,14,2,211,3,303,4,5,511,6,6A,7,8,9
3.0,8001,8605,8446,8660,8481,8446,8660,8446,8446,8620,8030,8660,7192,8947,8178,8731,8120
6.0,8141,8768,8606,8824,8642,8606,8824,8606,8606,8784,8196,8824,7328,9117,8333,8911,8274
8.0,8234,8876,8713,8933,8749,8713,8933,8713,8713,8892,8298,8933,7419,9230,8436,9088,8376
