,A,B,C,D,E,F,G,H,J,K,L
10.0,586,493,461,484,647,495,489,489,505,683,495
27.0,586,493,461,484,647,495,489,489,505,683,495
42.0,586,493,461,484,647,495,489,489,505,683,495
