,A,B,C,D,F.P.,R.P.,whole floor
3.0,3181329,3236980,3042999,3236980,3236980,3042999,3236980
6.0,3234051,3291790,3094155,3291790,3291790,3094155,3291790
10.0,3297474,3365450,3171150,3365450,3365450,3162798,3365450
